dataset_number,dataset_slug,dataset_label,image_role,package_path,source_path
3,003_rest_cook_fish,rest_cook fish,tr_target,MainStimuli/003_rest_cook_fish/tr_target.png,/Users/matveikurzukov/Library/CloudStorage/GoogleDrive-apazent@gmail.com/.shortcut-targets-by-id/1exBA-7XrpLfZc6s8oGNYTbmjGsu5dT6p/Gurung stimuli/3_rest_cook fish/1/tr_target.png
3,003_rest_cook_fish,rest_cook fish,it_target,MainStimuli/003_rest_cook_fish/it_target.png,/Users/matveikurzukov/Library/CloudStorage/GoogleDrive-apazent@gmail.com/.shortcut-targets-by-id/1exBA-7XrpLfZc6s8oGNYTbmjGsu5dT6p/Gurung stimuli/3_rest_cook fish/1/it_target.png
3,003_rest_cook_fish,rest_cook fish,end_coh_it,MainStimuli/003_rest_cook_fish/end_coh_it.png,/Users/matveikurzukov/Library/CloudStorage/GoogleDrive-apazent@gmail.com/.shortcut-targets-by-id/1exBA-7XrpLfZc6s8oGNYTbmjGsu5dT6p/Gurung stimuli/3_rest_cook fish/1/end_coh_it.png
3,003_rest_cook_fish,rest_cook fish,end_ic_tr,MainStimuli/003_rest_cook_fish/end_ic_tr.png,/Users/matveikurzukov/Library/CloudStorage/GoogleDrive-apazent@gmail.com/.shortcut-targets-by-id/1exBA-7XrpLfZc6s8oGNYTbmjGsu5dT6p/Gurung stimuli/3_rest_cook fish/1/end_ic_tr.png
3,003_rest_cook_fish,rest_cook fish,end_ic_it,MainStimuli/003_rest_cook_fish/end_ic_it.png,/Users/matveikurzukov/Library/CloudStorage/GoogleDrive-apazent@gmail.com/.shortcut-targets-by-id/1exBA-7XrpLfZc6s8oGNYTbmjGsu5dT6p/Gurung stimuli/3_rest_cook fish/1/end_ic_it.png
4,004_run_drink_tea,run_drink tea,ic_1,MainStimuli/004_run_drink_tea/ic_1.png,/Users/matveikurzukov/Library/CloudStorage/GoogleDrive-apazent@gmail.com/.shortcut-targets-by-id/1exBA-7XrpLfZc6s8oGNYTbmjGsu5dT6p/Gurung stimuli/4_run_drink tea/1/ic_1.png
4,004_run_drink_tea,run_drink tea,coh_1,MainStimuli/004_run_drink_tea/coh_1.png,/Users/matveikurzukov/Library/CloudStorage/GoogleDrive-apazent@gmail.com/.shortcut-targets-by-id/1exBA-7XrpLfZc6s8oGNYTbmjGsu5dT6p/Gurung stimuli/4_run_drink tea/1/coh_1.png
4,004_run_drink_tea,run_drink tea,coh_2,MainStimuli/004_run_drink_tea/coh_2.png,/Users/matveikurzukov/Library/CloudStorage/GoogleDrive-apazent@gmail.com/.shortcut-targets-by-id/1exBA-7XrpLfZc6s8oGNYTbmjGsu5dT6p/Gurung stimuli/4_run_drink tea/1/coh_2.png
4,004_run_drink_tea,run_drink tea,tr_target,MainStimuli/004_run_drink_tea/tr_target.png,/Users/matveikurzukov/Library/CloudStorage/GoogleDrive-apazent@gmail.com/.shortcut-targets-by-id/1exBA-7XrpLfZc6s8oGNYTbmjGsu5dT6p/Gurung stimuli/4_run_drink tea/1/tr_target.png
4,004_run_drink_tea,run_drink tea,it_target,MainStimuli/004_run_drink_tea/it_target.png,/Users/matveikurzukov/Library/CloudStorage/GoogleDrive-apazent@gmail.com/.shortcut-targets-by-id/1exBA-7XrpLfZc6s8oGNYTbmjGsu5dT6p/Gurung stimuli/4_run_drink tea/1/it_target.png
4,004_run_drink_tea,run_drink tea,end_coh_it,MainStimuli/004_run_drink_tea/end_coh_it.png,/Users/matveikurzukov/Library/CloudStorage/GoogleDrive-apazent@gmail.com/.shortcut-targets-by-id/1exBA-7XrpLfZc6s8oGNYTbmjGsu5dT6p/Gurung stimuli/4_run_drink tea/1/end_coh_it.png
4,004_run_drink_tea,run_drink tea,end_ic_tr,MainStimuli/004_run_drink_tea/end_ic_tr.png,/Users/matveikurzukov/Library/CloudStorage/GoogleDrive-apazent@gmail.com/.shortcut-targets-by-id/1exBA-7XrpLfZc6s8oGNYTbmjGsu5dT6p/Gurung stimuli/4_run_drink tea/1/end_ic_tr.png
4,004_run_drink_tea,run_drink tea,end_ic_it,MainStimuli/004_run_drink_tea/end_ic_it.png,/Users/matveikurzukov/Library/CloudStorage/GoogleDrive-apazent@gmail.com/.shortcut-targets-by-id/1exBA-7XrpLfZc6s8oGNYTbmjGsu5dT6p/Gurung stimuli/4_run_drink tea/1/end_ic_it.png
5,005_rest_build_wall,rest_build wall,ic_1,MainStimuli/005_rest_build_wall/ic_1.png,/Users/matveikurzukov/Library/CloudStorage/GoogleDrive-apazent@gmail.com/.shortcut-targets-by-id/1exBA-7XrpLfZc6s8oGNYTbmjGsu5dT6p/Gurung stimuli/5_rest_build wall/1/ic_1.png
5,005_rest_build_wall,rest_build wall,coh_1,MainStimuli/005_rest_build_wall/coh_1.png,/Users/matveikurzukov/Library/CloudStorage/GoogleDrive-apazent@gmail.com/.shortcut-targets-by-id/1exBA-7XrpLfZc6s8oGNYTbmjGsu5dT6p/Gurung stimuli/5_rest_build wall/1/coh_1.png
5,005_rest_build_wall,rest_build wall,coh_2,MainStimuli/005_rest_build_wall/coh_2.png,/Users/matveikurzukov/Library/CloudStorage/GoogleDrive-apazent@gmail.com/.shortcut-targets-by-id/1exBA-7XrpLfZc6s8oGNYTbmjGsu5dT6p/Gurung stimuli/5_rest_build wall/1/coh_2.png
5,005_rest_build_wall,rest_build wall,tr_target,MainStimuli/005_rest_build_wall/tr_target.png,/Users/matveikurzukov/Library/CloudStorage/GoogleDrive-apazent@gmail.com/.shortcut-targets-by-id/1exBA-7XrpLfZc6s8oGNYTbmjGsu5dT6p/Gurung stimuli/5_rest_build wall/1/tr_target.png
5,005_rest_build_wall,rest_build wall,it_target,MainStimuli/005_rest_build_wall/it_target.png,/Users/matveikurzukov/Library/CloudStorage/GoogleDrive-apazent@gmail.com/.shortcut-targets-by-id/1exBA-7XrpLfZc6s8oGNYTbmjGsu5dT6p/Gurung stimuli/5_rest_build wall/1/it_target.png
5,005_rest_build_wall,rest_build wall,end_coh_it,MainStimuli/005_rest_build_wall/end_coh_it.png,/Users/matveikurzukov/Library/CloudStorage/GoogleDrive-apazent@gmail.com/.shortcut-targets-by-id/1exBA-7XrpLfZc6s8oGNYTbmjGsu5dT6p/Gurung stimuli/5_rest_build wall/1/end_coh_it.png
5,005_rest_build_wall,rest_build wall,end_ic_tr,MainStimuli/005_rest_build_wall/end_ic_tr.png,/Users/matveikurzukov/Library/CloudStorage/GoogleDrive-apazent@gmail.com/.shortcut-targets-by-id/1exBA-7XrpLfZc6s8oGNYTbmjGsu5dT6p/Gurung stimuli/5_rest_build wall/1/end_ic_tr.png
5,005_rest_build_wall,rest_build wall,end_ic_it,MainStimuli/005_rest_build_wall/end_ic_it.png,/Users/matveikurzukov/Library/CloudStorage/GoogleDrive-apazent@gmail.com/.shortcut-targets-by-id/1exBA-7XrpLfZc6s8oGNYTbmjGsu5dT6p/Gurung stimuli/5_rest_build wall/1/end_ic_it.png
6,006_sleep_pluck_tomatoes,sleep_pluck tomatoes,ic_1,MainStimuli/006_sleep_pluck_tomatoes/ic_1.png,/Users/matveikurzukov/Library/CloudStorage/GoogleDrive-apazent@gmail.com/.shortcut-targets-by-id/1exBA-7XrpLfZc6s8oGNYTbmjGsu5dT6p/Gurung stimuli/6_sleep_pluck tomatoes/1/ic_1.png
6,006_sleep_pluck_tomatoes,sleep_pluck tomatoes,coh_1,MainStimuli/006_sleep_pluck_tomatoes/coh_1.png,/Users/matveikurzukov/Library/CloudStorage/GoogleDrive-apazent@gmail.com/.shortcut-targets-by-id/1exBA-7XrpLfZc6s8oGNYTbmjGsu5dT6p/Gurung stimuli/6_sleep_pluck tomatoes/1/coh_1.png
6,006_sleep_pluck_tomatoes,sleep_pluck tomatoes,coh_2,MainStimuli/006_sleep_pluck_tomatoes/coh_2.png,/Users/matveikurzukov/Library/CloudStorage/GoogleDrive-apazent@gmail.com/.shortcut-targets-by-id/1exBA-7XrpLfZc6s8oGNYTbmjGsu5dT6p/Gurung stimuli/6_sleep_pluck tomatoes/1/coh_2.png
6,006_sleep_pluck_tomatoes,sleep_pluck tomatoes,tr_target,MainStimuli/006_sleep_pluck_tomatoes/tr_target.png,/Users/matveikurzukov/Library/CloudStorage/GoogleDrive-apazent@gmail.com/.shortcut-targets-by-id/1exBA-7XrpLfZc6s8oGNYTbmjGsu5dT6p/Gurung stimuli/6_sleep_pluck tomatoes/1/tr_target.png
6,006_sleep_pluck_tomatoes,sleep_pluck tomatoes,it_target,MainStimuli/006_sleep_pluck_tomatoes/it_target.png,/Users/matveikurzukov/Library/CloudStorage/GoogleDrive-apazent@gmail.com/.shortcut-targets-by-id/1exBA-7XrpLfZc6s8oGNYTbmjGsu5dT6p/Gurung stimuli/6_sleep_pluck tomatoes/1/it_target.png
6,006_sleep_pluck_tomatoes,sleep_pluck tomatoes,end_coh_it,MainStimuli/006_sleep_pluck_tomatoes/end_coh_it.png,/Users/matveikurzukov/Library/CloudStorage/GoogleDrive-apazent@gmail.com/.shortcut-targets-by-id/1exBA-7XrpLfZc6s8oGNYTbmjGsu5dT6p/Gurung stimuli/6_sleep_pluck tomatoes/1/end_coh_it.png
6,006_sleep_pluck_tomatoes,sleep_pluck tomatoes,end_ic_tr,MainStimuli/006_sleep_pluck_tomatoes/end_ic_tr.png,/Users/matveikurzukov/Library/CloudStorage/GoogleDrive-apazent@gmail.com/.shortcut-targets-by-id/1exBA-7XrpLfZc6s8oGNYTbmjGsu5dT6p/Gurung stimuli/6_sleep_pluck tomatoes/1/end_ic_tr.png
6,006_sleep_pluck_tomatoes,sleep_pluck tomatoes,end_ic_it,MainStimuli/006_sleep_pluck_tomatoes/end_ic_it.png,/Users/matveikurzukov/Library/CloudStorage/GoogleDrive-apazent@gmail.com/.shortcut-targets-by-id/1exBA-7XrpLfZc6s8oGNYTbmjGsu5dT6p/Gurung stimuli/6_sleep_pluck tomatoes/1/end_ic_it.png
7,007_sit_make_fire,sit_make fire,ic_1,MainStimuli/007_sit_make_fire/ic_1.png,/Users/matveikurzukov/Library/CloudStorage/GoogleDrive-apazent@gmail.com/.shortcut-targets-by-id/1exBA-7XrpLfZc6s8oGNYTbmjGsu5dT6p/Gurung stimuli/7_sit_make fire/1/ic_1.png
7,007_sit_make_fire,sit_make fire,coh_1,MainStimuli/007_sit_make_fire/coh_1.png,/Users/matveikurzukov/Library/CloudStorage/GoogleDrive-apazent@gmail.com/.shortcut-targets-by-id/1exBA-7XrpLfZc6s8oGNYTbmjGsu5dT6p/Gurung stimuli/7_sit_make fire/1/coh_1.png
7,007_sit_make_fire,sit_make fire,coh_2,MainStimuli/007_sit_make_fire/coh_2.png,/Users/matveikurzukov/Library/CloudStorage/GoogleDrive-apazent@gmail.com/.shortcut-targets-by-id/1exBA-7XrpLfZc6s8oGNYTbmjGsu5dT6p/Gurung stimuli/7_sit_make fire/1/coh_2.png
7,007_sit_make_fire,sit_make fire,tr_target,MainStimuli/007_sit_make_fire/tr_target.png,/Users/matveikurzukov/Library/CloudStorage/GoogleDrive-apazent@gmail.com/.shortcut-targets-by-id/1exBA-7XrpLfZc6s8oGNYTbmjGsu5dT6p/Gurung stimuli/7_sit_make fire/1/tr_target.png
7,007_sit_make_fire,sit_make fire,it_target,MainStimuli/007_sit_make_fire/it_target.png,/Users/matveikurzukov/Library/CloudStorage/GoogleDrive-apazent@gmail.com/.shortcut-targets-by-id/1exBA-7XrpLfZc6s8oGNYTbmjGsu5dT6p/Gurung stimuli/7_sit_make fire/1/it_target.png
7,007_sit_make_fire,sit_make fire,end_coh_it,MainStimuli/007_sit_make_fire/end_coh_it.png,/Users/matveikurzukov/Library/CloudStorage/GoogleDrive-apazent@gmail.com/.shortcut-targets-by-id/1exBA-7XrpLfZc6s8oGNYTbmjGsu5dT6p/Gurung stimuli/7_sit_make fire/1/end_coh_it.png
7,007_sit_make_fire,sit_make fire,end_ic_tr,MainStimuli/007_sit_make_fire/end_ic_tr.png,/Users/matveikurzukov/Library/CloudStorage/GoogleDrive-apazent@gmail.com/.shortcut-targets-by-id/1exBA-7XrpLfZc6s8oGNYTbmjGsu5dT6p/Gurung stimuli/7_sit_make fire/1/end_ic_tr.png
7,007_sit_make_fire,sit_make fire,end_ic_it,MainStimuli/007_sit_make_fire/end_ic_it.png,/Users/matveikurzukov/Library/CloudStorage/GoogleDrive-apazent@gmail.com/.shortcut-targets-by-id/1exBA-7XrpLfZc6s8oGNYTbmjGsu5dT6p/Gurung stimuli/7_sit_make fire/1/end_ic_it.png
8,008_smile_weave_garland,smile_weave garland,ic_1,MainStimuli/008_smile_weave_garland/ic_1.png,/Users/matveikurzukov/Library/CloudStorage/GoogleDrive-apazent@gmail.com/.shortcut-targets-by-id/1exBA-7XrpLfZc6s8oGNYTbmjGsu5dT6p/Gurung stimuli/8_smile_weave garland/1/ic_1.png
8,008_smile_weave_garland,smile_weave garland,coh_1,MainStimuli/008_smile_weave_garland/coh_1.png,/Users/matveikurzukov/Library/CloudStorage/GoogleDrive-apazent@gmail.com/.shortcut-targets-by-id/1exBA-7XrpLfZc6s8oGNYTbmjGsu5dT6p/Gurung stimuli/8_smile_weave garland/1/coh_1.png
8,008_smile_weave_garland,smile_weave garland,coh_2,MainStimuli/008_smile_weave_garland/coh_2.png,/Users/matveikurzukov/Library/CloudStorage/GoogleDrive-apazent@gmail.com/.shortcut-targets-by-id/1exBA-7XrpLfZc6s8oGNYTbmjGsu5dT6p/Gurung stimuli/8_smile_weave garland/1/coh_2.png
8,008_smile_weave_garland,smile_weave garland,tr_target,MainStimuli/008_smile_weave_garland/tr_target.png,/Users/matveikurzukov/Library/CloudStorage/GoogleDrive-apazent@gmail.com/.shortcut-targets-by-id/1exBA-7XrpLfZc6s8oGNYTbmjGsu5dT6p/Gurung stimuli/8_smile_weave garland/1/tr_target.png
8,008_smile_weave_garland,smile_weave garland,it_target,MainStimuli/008_smile_weave_garland/it_target.png,/Users/matveikurzukov/Library/CloudStorage/GoogleDrive-apazent@gmail.com/.shortcut-targets-by-id/1exBA-7XrpLfZc6s8oGNYTbmjGsu5dT6p/Gurung stimuli/8_smile_weave garland/1/it_target.png
8,008_smile_weave_garland,smile_weave garland,end_coh_it,MainStimuli/008_smile_weave_garland/end_coh_it.png,/Users/matveikurzukov/Library/CloudStorage/GoogleDrive-apazent@gmail.com/.shortcut-targets-by-id/1exBA-7XrpLfZc6s8oGNYTbmjGsu5dT6p/Gurung stimuli/8_smile_weave garland/1/end_coh_it.png
8,008_smile_weave_garland,smile_weave garland,end_ic_tr,MainStimuli/008_smile_weave_garland/end_ic_tr.png,/Users/matveikurzukov/Library/CloudStorage/GoogleDrive-apazent@gmail.com/.shortcut-targets-by-id/1exBA-7XrpLfZc6s8oGNYTbmjGsu5dT6p/Gurung stimuli/8_smile_weave garland/1/end_ic_tr.png
8,008_smile_weave_garland,smile_weave garland,end_ic_it,MainStimuli/008_smile_weave_garland/end_ic_it.png,/Users/matveikurzukov/Library/CloudStorage/GoogleDrive-apazent@gmail.com/.shortcut-targets-by-id/1exBA-7XrpLfZc6s8oGNYTbmjGsu5dT6p/Gurung stimuli/8_smile_weave garland/1/end_ic_it.png
9,009_descend_harvest_rice,descend_harvest rice,ic_1,MainStimuli/009_descend_harvest_rice/ic_1.png,/Users/matveikurzukov/Library/CloudStorage/GoogleDrive-apazent@gmail.com/.shortcut-targets-by-id/1exBA-7XrpLfZc6s8oGNYTbmjGsu5dT6p/Gurung stimuli/9_descend_harvest rice/1/ic_1.png
9,009_descend_harvest_rice,descend_harvest rice,coh_1,MainStimuli/009_descend_harvest_rice/coh_1.png,/Users/matveikurzukov/Library/CloudStorage/GoogleDrive-apazent@gmail.com/.shortcut-targets-by-id/1exBA-7XrpLfZc6s8oGNYTbmjGsu5dT6p/Gurung stimuli/9_descend_harvest rice/1/coh_1.png
9,009_descend_harvest_rice,descend_harvest rice,coh_2,MainStimuli/009_descend_harvest_rice/coh_2.png,/Users/matveikurzukov/Library/CloudStorage/GoogleDrive-apazent@gmail.com/.shortcut-targets-by-id/1exBA-7XrpLfZc6s8oGNYTbmjGsu5dT6p/Gurung stimuli/9_descend_harvest rice/1/coh_2.png
9,009_descend_harvest_rice,descend_harvest rice,tr_target,MainStimuli/009_descend_harvest_rice/tr_target.png,/Users/matveikurzukov/Library/CloudStorage/GoogleDrive-apazent@gmail.com/.shortcut-targets-by-id/1exBA-7XrpLfZc6s8oGNYTbmjGsu5dT6p/Gurung stimuli/9_descend_harvest rice/1/tr_target.png
9,009_descend_harvest_rice,descend_harvest rice,it_target,MainStimuli/009_descend_harvest_rice/it_target.png,/Users/matveikurzukov/Library/CloudStorage/GoogleDrive-apazent@gmail.com/.shortcut-targets-by-id/1exBA-7XrpLfZc6s8oGNYTbmjGsu5dT6p/Gurung stimuli/9_descend_harvest rice/1/it_target.png
9,009_descend_harvest_rice,descend_harvest rice,end_coh_it,MainStimuli/009_descend_harvest_rice/end_coh_it.png,/Users/matveikurzukov/Library/CloudStorage/GoogleDrive-apazent@gmail.com/.shortcut-targets-by-id/1exBA-7XrpLfZc6s8oGNYTbmjGsu5dT6p/Gurung stimuli/9_descend_harvest rice/1/end_coh_it.png
9,009_descend_harvest_rice,descend_harvest rice,end_ic_tr,MainStimuli/009_descend_harvest_rice/end_ic_tr.png,/Users/matveikurzukov/Library/CloudStorage/GoogleDrive-apazent@gmail.com/.shortcut-targets-by-id/1exBA-7XrpLfZc6s8oGNYTbmjGsu5dT6p/Gurung stimuli/9_descend_harvest rice/1/end_ic_tr.png
9,009_descend_harvest_rice,descend_harvest rice,end_ic_it,MainStimuli/009_descend_harvest_rice/end_ic_it.png,/Users/matveikurzukov/Library/CloudStorage/GoogleDrive-apazent@gmail.com/.shortcut-targets-by-id/1exBA-7XrpLfZc6s8oGNYTbmjGsu5dT6p/Gurung stimuli/9_descend_harvest rice/1/end_ic_it.png
10,010_run_cook_pancakes,run_cook pancakes,ic_1,MainStimuli/010_run_cook_pancakes/ic_1.png,/Users/matveikurzukov/Library/CloudStorage/GoogleDrive-apazent@gmail.com/.shortcut-targets-by-id/1exBA-7XrpLfZc6s8oGNYTbmjGsu5dT6p/Gurung stimuli/10_run_cook pancakes/1/ic_1.png
10,010_run_cook_pancakes,run_cook pancakes,coh_1,MainStimuli/010_run_cook_pancakes/coh_1.png,/Users/matveikurzukov/Library/CloudStorage/GoogleDrive-apazent@gmail.com/.shortcut-targets-by-id/1exBA-7XrpLfZc6s8oGNYTbmjGsu5dT6p/Gurung stimuli/10_run_cook pancakes/1/coh_1.png
10,010_run_cook_pancakes,run_cook pancakes,coh_2,MainStimuli/010_run_cook_pancakes/coh_2.png,/Users/matveikurzukov/Library/CloudStorage/GoogleDrive-apazent@gmail.com/.shortcut-targets-by-id/1exBA-7XrpLfZc6s8oGNYTbmjGsu5dT6p/Gurung stimuli/10_run_cook pancakes/1/coh_2.png
10,010_run_cook_pancakes,run_cook pancakes,tr_target,MainStimuli/010_run_cook_pancakes/tr_target.png,/Users/matveikurzukov/Library/CloudStorage/GoogleDrive-apazent@gmail.com/.shortcut-targets-by-id/1exBA-7XrpLfZc6s8oGNYTbmjGsu5dT6p/Gurung stimuli/10_run_cook pancakes/1/tr_target.png
10,010_run_cook_pancakes,run_cook pancakes,it_target,MainStimuli/010_run_cook_pancakes/it_target.png,/Users/matveikurzukov/Library/CloudStorage/GoogleDrive-apazent@gmail.com/.shortcut-targets-by-id/1exBA-7XrpLfZc6s8oGNYTbmjGsu5dT6p/Gurung stimuli/10_run_cook pancakes/1/it_target.png
10,010_run_cook_pancakes,run_cook pancakes,end_coh_it,MainStimuli/010_run_cook_pancakes/end_coh_it.png,/Users/matveikurzukov/Library/CloudStorage/GoogleDrive-apazent@gmail.com/.shortcut-targets-by-id/1exBA-7XrpLfZc6s8oGNYTbmjGsu5dT6p/Gurung stimuli/10_run_cook pancakes/1/end_coh_it.png
10,010_run_cook_pancakes,run_cook pancakes,end_ic_tr,MainStimuli/010_run_cook_pancakes/end_ic_tr.png,/Users/matveikurzukov/Library/CloudStorage/GoogleDrive-apazent@gmail.com/.shortcut-targets-by-id/1exBA-7XrpLfZc6s8oGNYTbmjGsu5dT6p/Gurung stimuli/10_run_cook pancakes/1/end_ic_tr.png
10,010_run_cook_pancakes,run_cook pancakes,end_ic_it,MainStimuli/010_run_cook_pancakes/end_ic_it.png,/Users/matveikurzukov/Library/CloudStorage/GoogleDrive-apazent@gmail.com/.shortcut-targets-by-id/1exBA-7XrpLfZc6s8oGNYTbmjGsu5dT6p/Gurung stimuli/10_run_cook pancakes/1/end_ic_it.png
11,011_ascend_wipe_plate,ascend_wipe plate,ic_1,MainStimuli/011_ascend_wipe_plate/ic_1.png,/Users/matveikurzukov/Library/CloudStorage/GoogleDrive-apazent@gmail.com/.shortcut-targets-by-id/1exBA-7XrpLfZc6s8oGNYTbmjGsu5dT6p/Gurung stimuli/11_ascend_wipe plate/1/ic_1.png
11,011_ascend_wipe_plate,ascend_wipe plate,coh_1,MainStimuli/011_ascend_wipe_plate/coh_1.png,/Users/matveikurzukov/Library/CloudStorage/GoogleDrive-apazent@gmail.com/.shortcut-targets-by-id/1exBA-7XrpLfZc6s8oGNYTbmjGsu5dT6p/Gurung stimuli/11_ascend_wipe plate/1/coh_1.png
